region,org_id,alternatenames,pdb_org_id,state,ix_id,url,pch_id,geo_id,city,iata,prefixes,latitude,pdb_id,country,longitude,name,address,sources,zipcode
Asia-Pacific,8440,['BroadBand Internet eXchange Osaka'],8440,,41,https://www.bbix.net/en,138,,,,"{'ipv4': ['218.100.7.0/24', '218.100.9.0/24'], 'ipv6': ['2001:de8:c::/48', '2001:de8:c:2::/64']}",,786,JP,,BBIX Osaka,,"['pdb', 'he', 'pch']",
Asia-Pacific,8440,['BroadBand Internet eXchange Singapore'],8440,Singapore,42,https://www.bbix.net/en/,1835,1880252,Singapore,,"{'ipv4': ['103.231.152.0/22'], 'ipv6': ['2001:df5:b800:bb00::/64']}",,909,SG,,BBIX Singapore,,"['pdb', 'he', 'pch']",
Asia-Pacific,8440,"['BBIX (Thailand) Company Limited', 'BBIX-Thailand']",8440,Bangkok,921,https://www.bbix.net/th/,2339,1609350,,,"{'ipv4': ['103.127.88.0/23'], 'ipv6': ['2001:df7:6500:1::/64']}",,2467,TH,,BBIX Thailand,,"['pdb', 'he', 'pch']",
Asia-Pacific,8440,['BroadBand Internet eXchange Tokyo'],8440,,43,https://www.bbix.net/en,137,,,,"{'ipv4': ['218.100.6.0/24', '101.203.88.0/22', '218.100.6.0/23'], 'ipv6': ['2001:de8:c::/64']}",,126,JP,,BBIX Tokyo,,"['pdb', 'he', 'pch']",
Europe,,[],,,44,https://www.bcix.de/,,2950159,Berlin,,"{'ipv4': ['193.178.185.0/24'], 'ipv6': ['2001:7f8:19::/48']}",52.38000,,DE,13.52000,BCIX,,['he'],
Asia-Pacific,,[],,,1103,http://www.bdix.net,,1185241,Dhaka,,"{'ipv4': ['198.32.167.0/24', '103.151.196.0/23', '202.59.208.0/24'], 'ipv6': ['2001:df3:d680::/64', '2001:de8:b:2900::/64']}",23.77000,,BD,90.38000,BDIX,,['he'],
Europe,29760,['BEE-IX Internet Exchanges'],29760,,1707,http://bee-ix.rudaki.net/,,,Frankfurt,,"{'ipv4': [], 'ipv6': ['2001:7f8:11f:be00::/64']}",,4105,UA,,BEE-IX,,"['he', 'pdb']",
Europe,24546,[],24546,West Yorkshire,1104,https://bfd-ix.net,,2654993,Bradford,,"{'ipv4': ['185.1.136.0/24'], 'ipv6': ['2001:7f8:da::/64']}",,3098,GB,,BFD-IX,,"['he', 'pdb']",BD1 2HB
Africa,14212,['Burkina Faso Internet Exchange Point (BFIX) Bobo'],14212,,1296,https://bfix.bf,2252,2362344,Bobo-Dioulasso,BOY,"{'ipv4': ['196.60.76.0/24'], 'ipv6': ['2001:43f8:b60:1::/64']}",11.17609,3401,BF,-4.33765,BFIX Bobo-Dioulasso,,"['pdb', 'pch']",
Africa,14212,['Burkina Faso Internet Exchange Point (BFIX) Ouaga'],14212,,1066,https://www.bfix.bf,1839,2357048,Ouagadougou,OUA,"{'ipv4': ['196.13.207.128/26', '196.223.47.0/24'], 'ipv6': ['2001:43f8:b60::/64']}",,2729,BF,,BFIX Ouagadougou,,"['pdb', 'pch']",
