zipcode,longitude,pdb_org_id,address,country,city,pdb_fac_id,name,num_ixs,state,fac_id,sources,clli,geo_id,latitude,alternatenames
97205,-122.680792,29970,921 SW Washington St,US,Portland,275,The Pittock,1,Oregon,148,['pdb'],PTLDORPB,5746545,45.521366,[]
60489,8.601436,491,Eschborner Landstrasse 100,DE,Frankfurt,277,NTT Frankfurt 1 Data Center (FRA1),6,Hessen,149,['pdb'],FRNKGE,2925533,50.128192,[]
139964,103.789842,2,20 Ayer Rajah Crescent#05-05/08,SG,Singapore,282,Equinix SG1 - Singapore,11,,150,['pdb'],,1880252,1.295229,[]
60605,-87.631453,9314,427 S. La Salle4th Floor,US,Chicago,283,365 Data Centers Chicago (CH6),2,IL,1210,['pdb'],,4887398,41.876212,[]
20005,-77.029149,34,"1275 K Street, NWSuite 700",US,Washington,286,"CoreSite - Washington,DC (DC1)",2,DC,151,['pdb'],WASHDC12,4140963,38.902918,[]
60326,8.629585,514,Rebstöcker Straße 55,DE,Frankfurt,290,aixit Frankfurt,1,Hessen,152,['pdb'],FRNKGE,2925533,50.1009,[]
60326,8.63429,516,Mainzer Landstrasse 351-353,DE,Frankfurt,291,NewColo Frankfurt,1,,153,['pdb'],FRNKGE,2925533,50.101713,[]
10149,7.660825,7507,Corso Svizzera 185Building 3,IT,Turin,294,ITGate PdF (TRN1/TRN2),2,,154,['pdb'],TORIIT,3165524,45.090688,[]
1930,4.503629,30458,"Mercuriusstraat 30, Nossegem",BE,Brussels,295,AtlasEdge DC Brussels 1&2,1,,155,['pdb'],,2800866,50.872026,[]
1132,19.055712,533,Victor Hugo utca 18-22.,HU,Budapest,300,BIX Building (Victor Hugo street),1,,156,['pdb'],,3054643,47.51796,[]
1087,19.107458,536,Asztalos Sandor utca 13.,HU,Budapest,301,Dataplex Budapest,2,,157,['pdb'],,3054643,47.448989,[]
93200,2.350664,2,"Rue Ambroise Croizat, 114Saint-Denis",FR,Paris,306,"Equinix PA2 - Paris, Saint-Denis",3,,158,['pdb'],PARSFR,2988507,48.927166,[]
M5J 2N1,-79.384228,558,151 Front St. W.Suite 800,CA,Toronto,316,Neutral Data Toronto,1,ON,159,['pdb'],TOROON,6167865,43.644632,[]
90017,-118.256985,7,626 Wilshire Blvd #600,US,Los Angeles,317,Telehouse - Los Angeles,1,CA,160,['pdb'],LSANCA,5368361,34.048275,[]
